,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry,1010.10101010101,ORB,0.5151515151515151,0.00051,0.99949,0.0005100000000000052
1,Quarry,1010.10101010101,ORB,0.43434343434343436,0.00043000000000000004,0.9995700000000001,0.00042999999999996524
2,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
3,Quarry,1010.10101010101,ORB,0.1111111111111111,0.00011,0.9998900000000001,0.00010999999999997172
4,Quarry,1010.10101010101,ORB,0.32323232323232326,0.00032,0.99968,0.0003199999999999935
5,Quarry,1004.979797979798,ORB,0.696969696969697,0.0006935161267626869,0.9993064838732373,0.0006935161267627018
6,Quarry,1003.4141414141415,ORB,1.5454545454545454,0.0015401960981698845,0.9984598039018302,0.001540196098169842
7,Quarry,1010.10101010101,ORB,3.2626262626262625,0.0032300000000000002,0.99677,0.0032299999999999777
8,Quarry,1010.040404040404,ORB,3.707070707070707,0.003670220213212793,0.9963297797867873,0.00367022021321276
9,Quarry,1002.7979797979798,ORB,3.757575757575758,0.0037470914713377723,0.9962529085286622,0.0037470914713377775
10,Quarry,1001.3434343434343,ORB,5.353535353535354,0.005346352879464961,0.9946536471205351,0.005346352879464953
11,Quarry,1004.8888888888889,ORB,2.909090909090909,0.002894937879458003,0.9971050621205421,0.00289493787945797
12,Quarry,1010.10101010101,ORB,0.5656565656565656,0.0005600000000000001,0.99944,0.0005600000000000024
13,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
14,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
15,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
16,Quarry,1010.10101010101,ORB,0.10101010101010101,0.0001,0.9999,9.999999999999449e-05
17,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
18,Quarry,1010.10101010101,ORB,0.898989898989899,0.0008900000000000001,0.9991099999999999,0.0008900000000000287
19,Quarry,1010.10101010101,ORB,2.727272727272727,0.0027,0.9973,0.002700000000000018
20,Quarry,1010.10101010101,ORB,2.9292929292929295,0.0029000000000000002,0.9971,0.002900000000000007
21,Quarry,1010.10101010101,ORB,3.1717171717171717,0.00314,0.99686,0.0031400000000000156
22,Quarry,1010.10101010101,ORB,2.3434343434343434,0.00232,0.99768,0.0023199999999999944
23,Quarry,1010.10101010101,ORB,1.2121212121212122,0.0012000000000000001,0.9988,0.0011999999999999895
