,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry,1010.10101010101,ORB,0.43434343434343436,0.00043000000000000004,0.9995700000000001,0.00042999999999996524
1,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
2,Quarry,1010.1111111111111,ORB,0.08080808080808081,7.999920000799993e-05,0.999920000799992,7.999920000800367e-05
3,Quarry,1010.10101010101,ORB,0.09090909090909091,9e-05,0.99991,9.000000000001724e-05
4,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
5,Quarry,1010.10101010101,ORB,0.9595959595959596,0.00095,0.99905,0.0009500000000000033
6,Quarry,1010.10101010101,ORB,1.3131313131313131,0.0013000000000000002,0.9987,0.0012999999999999841
7,Quarry,1010.10101010101,ORB,3.2222222222222223,0.00319,0.9968100000000001,0.0031899999999999576
8,Quarry,1010.10101010101,ORB,3.2626262626262625,0.0032300000000000002,0.99677,0.0032299999999999777
9,Quarry,1010.10101010101,ORB,2.707070707070707,0.00268,0.99732,0.002680000000000008
10,Quarry,1010.10101010101,ORB,4.343434343434343,0.0043,0.9957,0.004299999999999985
11,Quarry,1010.10101010101,ORB,2.5454545454545454,0.00252,0.99748,0.0025199999999999836
12,Quarry,1010.10101010101,ORB,0.3939393939393939,0.00039,0.99961,0.00039000000000000075
13,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
14,Quarry,1010.10101010101,ORB,0.06060606060606061,6e-05,0.99994,5.9999999999974496e-05
15,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
16,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
17,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
18,Quarry,1010.10101010101,ORB,0.6666666666666666,0.00066,0.99934,0.000659999999999997
19,Quarry,1010.10101010101,ORB,2.7777777777777777,0.00275,0.99725,0.002750000000000015
20,Quarry,1010.10101010101,ORB,2.0505050505050506,0.00203,0.99797,0.002029999999999988
21,Quarry,1010.10101010101,ORB,2.919191919191919,0.00289,0.99711,0.0028899999999999738
22,Quarry,1010.10101010101,ORB,1.6868686868686869,0.00167,0.9983299999999999,0.0016700000000000302
23,Quarry,1010.10101010101,ORB,0.6363636363636364,0.00063,0.99937,0.0006300000000000098
24,Quarry,1010.10101010101,ORB,0.09090909090909091,9e-05,0.99991,9.000000000001724e-05
25,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
26,Quarry,1010.10101010101,ORB,0.09090909090909091,9e-05,0.99991,9.000000000001724e-05
27,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
28,Quarry,1010.10101010101,ORB,0.09090909090909091,9e-05,0.99991,9.000000000001724e-05
29,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
30,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
31,Quarry,1010.10101010101,ORB,0.06060606060606061,6e-05,0.99994,5.9999999999974496e-05
32,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
33,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
34,Quarry,1010.10101010101,ORB,0.3333333333333333,0.00033,0.99967,0.00033000000000002624
35,Quarry,1010.10101010101,ORB,0.696969696969697,0.0006900000000000001,0.9993099999999999,0.0006900000000000398
36,Quarry,1010.10101010101,ORB,0.6262626262626263,0.0006200000000000001,0.99938,0.000619999999999977
37,Quarry,1010.10101010101,ORB,0.12121212121212122,0.00012,0.99988,0.0001200000000000045
38,Quarry,1010.10101010101,ORB,0.15151515151515152,0.00015000000000000001,0.99985,0.00014999999999999175
39,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
40,Quarry,1010.10101010101,ORB,0.09090909090909091,9e-05,0.99991,9.000000000001724e-05
41,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
42,Quarry,1010.10101010101,ORB,0.06060606060606061,6e-05,0.99994,5.9999999999974496e-05
43,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
44,Quarry,1010.10101010101,ORB,0.06060606060606061,6e-05,0.99994,5.9999999999974496e-05
45,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
46,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
47,Quarry,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
48,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
49,Quarry,1010.10101010101,ORB,0.08080808080808081,8e-05,0.99992,7.99999999999845e-05
50,Quarry,1010.10101010101,ORB,1.1313131313131313,0.0011200000000000001,0.99888,0.0011200000000000049
51,Quarry,1010.10101010101,ORB,0.6868686868686869,0.00068,0.99932,0.000680000000000007
52,Quarry,1010.10101010101,ORB,1.1717171717171717,0.00116,0.99884,0.001160000000000025
53,Quarry,1010.10101010101,ORB,2.4545454545454546,0.0024300000000000003,0.99757,0.002430000000000022
54,Quarry,1010.10101010101,ORB,3.7777777777777777,0.0037400000000000003,0.9962599999999999,0.0037400000000000384
55,Quarry,1010.10101010101,ORB,2.525252525252525,0.0025,0.9974999999999999,0.0025000000000000287
56,Quarry,1010.10101010101,ORB,1.9696969696969697,0.0019500000000000001,0.99805,0.0019500000000000036
