,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry,9.49367088607595,ROOTSIFT,1.3417721518987342,0.14133333333333334,0.8586666666666667,0.14133333333333334
1,Quarry,9.49367088607595,ROOTSIFT,0.8227848101265823,0.08666666666666667,0.9133333333333332,0.08666666666666673
2,Quarry,9.49367088607595,ROOTSIFT,0.10126582278481013,0.010666666666666666,0.9893333333333333,0.01066666666666669
3,Quarry,9.49367088607595,ROOTSIFT,0.0759493670886076,0.008,0.992,0.008000000000000004
4,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
5,Quarry,9.50632911392405,ROOTSIFT,0.06329113924050633,0.006657789613848203,0.9933422103861518,0.006657789613848213
6,Quarry,9.49367088607595,ROOTSIFT,0.08860759493670886,0.009333333333333332,0.9906666666666666,0.009333333333333374
7,Quarry,9.518987341772151,ROOTSIFT,0.10126582278481013,0.010638297872340427,0.9893617021276595,0.010638297872340462
8,Quarry,9.49367088607595,ROOTSIFT,0.13924050632911392,0.014666666666666665,0.9853333333333333,0.014666666666666692
9,Quarry,9.49367088607595,ROOTSIFT,0.7088607594936709,0.07466666666666666,0.9253333333333333,0.07466666666666666
10,Quarry,9.49367088607595,ROOTSIFT,0.27848101265822783,0.02933333333333333,0.9706666666666667,0.029333333333333322
11,Quarry,9.49367088607595,ROOTSIFT,0.5189873417721519,0.05466666666666666,0.9453333333333335,0.05466666666666659
12,Quarry,9.49367088607595,ROOTSIFT,0.35443037974683544,0.03733333333333333,0.9626666666666667,0.03733333333333333
13,Quarry,9.49367088607595,ROOTSIFT,0.3291139240506329,0.03466666666666666,0.9653333333333334,0.034666666666666644
14,Quarry,9.50632911392405,ROOTSIFT,0.24050632911392406,0.025299600532623173,0.9747003994673769,0.02529960053262316
15,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
16,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
17,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
18,Quarry,9.49367088607595,ROOTSIFT,0.12658227848101267,0.013333333333333332,0.9866666666666666,0.013333333333333374
19,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
20,Quarry,9.49367088607595,ROOTSIFT,0.0759493670886076,0.008,0.992,0.008000000000000004
21,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
22,Quarry,9.49367088607595,ROOTSIFT,0.0759493670886076,0.008,0.992,0.008000000000000004
23,Quarry,9.49367088607595,ROOTSIFT,0.0759493670886076,0.008,0.992,0.008000000000000004
24,Quarry,9.49367088607595,ROOTSIFT,0.13924050632911392,0.014666666666666665,0.9853333333333333,0.014666666666666692
25,Quarry,9.49367088607595,ROOTSIFT,0.3670886075949367,0.03866666666666666,0.9613333333333334,0.03866666666666665
26,Quarry,9.49367088607595,ROOTSIFT,0.25316455696202533,0.026666666666666665,0.9733333333333334,0.02666666666666664
27,Quarry,9.49367088607595,ROOTSIFT,0.17721518987341772,0.018666666666666665,0.9813333333333334,0.018666666666666637
28,Quarry,9.518987341772151,ROOTSIFT,0.0759493670886076,0.00797872340425532,0.9920212765957447,0.007978723404255319
29,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
30,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
31,Quarry,9.49367088607595,ROOTSIFT,0.08860759493670886,0.009333333333333332,0.9906666666666666,0.009333333333333374
32,Quarry,9.49367088607595,ROOTSIFT,0.10126582278481013,0.010666666666666666,0.9893333333333333,0.01066666666666669
33,Quarry,9.49367088607595,ROOTSIFT,0.0759493670886076,0.008,0.992,0.008000000000000004
34,Quarry,9.49367088607595,ROOTSIFT,0.08860759493670886,0.009333333333333332,0.9906666666666666,0.009333333333333374
35,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
36,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
37,Quarry,9.50632911392405,ROOTSIFT,0.06329113924050633,0.006657789613848203,0.9933422103861518,0.006657789613848213
38,Quarry,9.49367088607595,ROOTSIFT,0.0759493670886076,0.008,0.992,0.008000000000000004
39,Quarry,9.50632911392405,ROOTSIFT,0.10126582278481013,0.010652463382157125,0.9893475366178428,0.01065246338215716
40,Quarry,9.49367088607595,ROOTSIFT,0.6455696202531646,0.06799999999999999,0.932,0.06799999999999996
41,Quarry,9.49367088607595,ROOTSIFT,1.2911392405063291,0.13599999999999998,0.864,0.13599999999999998
42,Quarry,9.49367088607595,ROOTSIFT,0.7468354430379747,0.07866666666666666,0.9213333333333333,0.07866666666666666
43,Quarry,9.49367088607595,ROOTSIFT,0.6075949367088608,0.064,0.936,0.06399999999999997
44,Quarry,9.49367088607595,ROOTSIFT,0.2911392405063291,0.030666666666666665,0.9693333333333334,0.030666666666666644
45,Quarry,9.49367088607595,ROOTSIFT,0.11392405063291139,0.011999999999999999,0.988,0.012000000000000005
46,Quarry,9.49367088607595,ROOTSIFT,0.1518987341772152,0.016,0.9839999999999999,0.016000000000000063
47,Quarry,9.49367088607595,ROOTSIFT,0.11392405063291139,0.011999999999999999,0.988,0.012000000000000005
48,Quarry,9.49367088607595,ROOTSIFT,0.11392405063291139,0.011999999999999999,0.988,0.012000000000000005
49,Quarry,9.49367088607595,ROOTSIFT,0.10126582278481013,0.010666666666666666,0.9893333333333333,0.01066666666666669
50,Quarry,9.49367088607595,ROOTSIFT,0.1518987341772152,0.016,0.9839999999999999,0.016000000000000063
51,Quarry,9.49367088607595,ROOTSIFT,0.5822784810126582,0.06133333333333333,0.9386666666666668,0.06133333333333329
52,Quarry,9.49367088607595,ROOTSIFT,0.5189873417721519,0.05466666666666666,0.9453333333333335,0.05466666666666659
53,Quarry,9.49367088607595,ROOTSIFT,0.21518987341772153,0.022666666666666665,0.9773333333333334,0.022666666666666637
54,Quarry,9.49367088607595,ROOTSIFT,0.5443037974683544,0.057333333333333326,0.9426666666666668,0.057333333333333285
55,Quarry,9.49367088607595,ROOTSIFT,0.5569620253164557,0.05866666666666666,0.9413333333333334,0.058666666666666645
56,Quarry,9.49367088607595,ROOTSIFT,0.10126582278481013,0.010666666666666666,0.9893333333333333,0.01066666666666669
57,Quarry,9.50632911392405,ROOTSIFT,0.24050632911392406,0.025299600532623173,0.9747003994673769,0.02529960053262316
58,Quarry,9.50632911392405,ROOTSIFT,0.26582278481012656,0.02796271637816245,0.9720372836218376,0.02796271637816242
59,Quarry,9.49367088607595,ROOTSIFT,0.31645569620253167,0.03333333333333333,0.9666666666666667,0.03333333333333333
60,Quarry,9.49367088607595,ROOTSIFT,0.11392405063291139,0.011999999999999999,0.988,0.012000000000000005
61,Quarry,9.49367088607595,ROOTSIFT,0.4936708860759494,0.052,0.948,0.052000000000000025
62,Quarry,9.49367088607595,ROOTSIFT,0.43037974683544306,0.04533333333333333,0.9546666666666667,0.04533333333333334
63,Quarry,9.49367088607595,ROOTSIFT,0.1518987341772152,0.016,0.9839999999999999,0.016000000000000063
64,Quarry,9.49367088607595,ROOTSIFT,0.21518987341772153,0.022666666666666665,0.9773333333333334,0.022666666666666637
65,Quarry,9.49367088607595,ROOTSIFT,0.24050632911392406,0.025333333333333333,0.9746666666666667,0.025333333333333326
66,Quarry,9.49367088607595,ROOTSIFT,0.620253164556962,0.06533333333333333,0.9346666666666666,0.06533333333333334
67,Quarry,9.49367088607595,ROOTSIFT,0.5316455696202531,0.05599999999999999,0.9440000000000001,0.05599999999999996
68,Quarry,9.49367088607595,ROOTSIFT,0.6835443037974683,0.072,0.928,0.07199999999999997
69,Quarry,9.49367088607595,ROOTSIFT,0.569620253164557,0.06,0.9400000000000001,0.05999999999999997
70,Quarry,9.50632911392405,ROOTSIFT,0.4430379746835443,0.04660452729693742,0.9533954727030625,0.04660452729693748
71,Quarry,9.49367088607595,ROOTSIFT,1.240506329113924,0.13066666666666665,0.8693333333333334,0.13066666666666663
72,Quarry,9.49367088607595,ROOTSIFT,0.24050632911392406,0.025333333333333333,0.9746666666666667,0.025333333333333326
73,Quarry,9.49367088607595,ROOTSIFT,0.08860759493670886,0.009333333333333332,0.9906666666666666,0.009333333333333374
74,Quarry,9.49367088607595,ROOTSIFT,0.17721518987341772,0.018666666666666665,0.9813333333333334,0.018666666666666637
75,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
76,Quarry,9.518987341772151,ROOTSIFT,0.08860759493670886,0.009308510638297874,0.990691489361702,0.009308510638297919
77,Quarry,9.49367088607595,ROOTSIFT,0.06329113924050633,0.006666666666666666,0.9933333333333333,0.006666666666666687
